Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
101388,BUNGSU Mohd Hanifah Hj,BRU,Male,1970.0,Active,Right-handed,Attacker,Penhold,0,0,1,1
101393,BURGIS Matiss,LAT,Male,1989.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135306,BURGOS Brianna,PUR,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133441,BURGOS Nicolas,CHI,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134315,BURINGRUD-LANGEN Fredrik,NOR,Male,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
123932,BURKOVA Anastasia,RUS,Female,1998.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101400,BUROV Viacheslav,RUS,Male,1985.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137605,BURY Olbryan,SUI,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145766,BURYLOV Volodymyr,UKR,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
112191,BUSATLIC Belma,BIH,Female,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133927,BUSTNGE Ayham,JOR,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133923,BUSTNGE Haythem,JOR,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101407,BUTLER Jimmy,USA,Male,1971.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
113269,BUTOROVA Benedikta,SVK,Female,1992.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
120044,BUTYLEV Mikhail,RUS,Male,1978.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145441,BUYANNEMEKH Erdenekhuu,MGL,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101415,BYKOV Viktor,BLR,Male,1981.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135973,BYRNE Dillon,IRL,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133707,BYUN Seoyoung,KOR,Female,2003.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
120052,CABALLERO Carlos,ESP,Male,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144717,CABALLERO MONTES Raul,ESP,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137654,CABANAS Elisabeth,ESP,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
118023,CABRERA Adrian,ECU,Male,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135708,CABRERA MALLETTE Emilia,CAN,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134922,CABRERA Maria,ECU,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134054,CABRERA Pedro,DOM,Male,2001.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
134636,CABRERA Rafael,DOM,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133481,CACERES Gabriel,PAR,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
123755,CACERES Panambi,PAR,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
118022,CACHAFEIRO Jose Miguel,PAN,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134679,CAFUTA Tina,SLO,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101435,CAHOREAU Nathalie,FRA,Female,1986.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
131948,CAHYANING Anggawani,INA,Female,1999.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
145047,CAI Demi,CAN,Female,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133840,CAI Fong-En,TPE,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137281,CAI Jiangnan,CHN,Female,1999.0,Active,Right-handed,Attacker,Penhold,0,0,1,1
137780,CAI Nicole,CAN,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135653,CAICO Gonzalo,CHI,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
121170,CAIGNEUX David,FRA,Male,1985.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
121882,CAKOL Klara,CRO,Female,1998.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134710,CALARCO Giuseppe,ITA,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101444,CALBRIX Nicolas,FRA,Male,1984.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
144065,CALDAROLA Edoardo,ITA,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
115641,CALDERANO Hugo,BRA,Male,1996.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
111528,CALDERON Julio,ESA,Male,1995.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
143743,CALLABA Nicolas,ARG,Male,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
112379,CALVO Alejandro,ESP,Male,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101454,CALVO Allan,CRC,Male,1982.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
